Peer review survey results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No. ratings,,Median ranking,
Country of respondent,UK,India,UK,UK,UK,UK,USA,Denmark,UK,USA,UK,Canada,UK,Australia,UK,UK,USA,UK,Finland,UK,USA,Other...,UK,USA,USA,Singapore,Hong Kong,USA,UK,UK,Finland,Belgium,Israel,Australia,USA,UK,USA,Denmark,USA,Hungary,UK,Netherlands,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranked scholars,,,,,,,,,,,,,,,,,,,,,,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Willett, Peter",4,,,,4,3,2,,4,2,3,,4,4,3,,,,4,4,,,4,4,,4,,,,4,,,,3,2,4,4,3,4,,4,,23,,4,3.52173913
"Belkin, Nicholas J.",,,,4,3,2,3,1,,4,3,,4,4,,3,4,,4,,,,4,3,3,4,4,,4,,4,,,3,3,4,3,4,3,,,,25,,4,3.4
"Van Raan, Anthony F.J.",4,4,,,,,,,,,,4,,,,,,4,,,,,0,4,,,,,,,,3,,3,,,,4,3,4,,,11,,4,3.363636364
"Robertson, Stephen",4,,,4,4,3,3,,3,4,2,,2,4,4,4,,,,4,,,2,4,4,,,,4,,2,2,,,4,4,3,4,3,,3,,25,,4,3.36
"Rijsbergen, V Keith",,2,,3,3,2,4,4,,4,3,,,4,,4,4,,4,,,,1,4,4,2,,,4,,3,2,4,3,4,4,4,3,3,,,,26,,4,3.307692308
"Saracevic, Tefco",4,3,,4,3,2,3,1,,4,3,,,4,,4,4,,4,3,,,4,3,4,3,4,,,,4,2,,2,4,4,3,3,2,,,,27,,3,3.259259259
"Cronin, Blaise",4,4,4,,3,3,2,4,,2,3,4,2,4,2,,3,4,,4,4,,3,3,4,4,,2,,,4,3,3,2,1,4,4,4,,,3,2,32,,3,3.1875
"Buckland, Michael K.",,2,,,,3,2,2,,4,,,,,,,4,,,4,,,4,3,3,4,,2,,,3,,,2,3,4,4,2,3,,4,,20,,3,3.1
"Kuhlthau, Carol C.",,,,,,1,3,,,2,,,,4,,3,4,,4,3,,,4,2,,4,,,3,4,3,,,2,3,4,2,3,,,4,,20,,3,3.1
"Ingwersen, Peter",,2,,3,,2,3,,,3,,,3,4,2,4,4,4,4,3,3,,4,3,,3,,,4,,4,3,3,2,2,3,3,,2,,,3,27,,3,3.074074074
"Borgman, Christine L",,2,,,4,2,1,3,,3,4,,4,3,,3,4,,2,3,,,4,3,4,4,4,,,,,,3,3,2,3,,3,2,,3,,25,,3,3.04
"Bates, Marcia J.",,,,,3,2,2,2,,3,2,,3,3,,3,4,,3,3,4,,3,3,4,4,,,3,4,4,,3,3,3,3,2,3,,,,,26,,3,3.038461538
"Bertot, John C.",,,,,,,,,,,,,,4,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,3
"Glanzel, Wolfgang ",,4,,,,,,,,,,,,,2,,,3,,,,,0,4,,,,,,,,4,3,3,,,,3,2,4,,4,12,,3,3
"Jarvelin, Kalervo",4,,,4,,2,2,4,,2,,,,4,,4,2,,,3,,,3,2,,,,,3,4,4,,,2,3,,2,3,3,,,,20,,3,3
"Egghe, Leo",4,4,,,,2,1,3,,,,,,3,3,,,4,,3,,,0,4,4,,,,,,,,3,4,,,2,3,3,3,,3,19,,3,2.947368421
"Oppenheim, Charles",3,3,4,,4,1,2,,3,,3,4,4,2,2,,,,,3,3,4,4,2,,4,,,,3,,2,,,,,3,2,1,,,3,24,,3,2.875
"White, Howard D.",,4,,,,3,,,,,,,,4,,,3,,,,,,0,3,,,,,,,,,,3,2,,4,2,4,,,2,12,,3,2.833333333
"Marchionini, Gary",,,,4,3,1,3,,,,4,,2,4,,4,4,,3,3,,,1,3,4,,,,1,,2,,3,2,3,3,3,3,2,,,,23,,3,2.826086957
"Rousseau, Ronald",4,4,,,,2,,,,,,,,,2,,,4,,,,,0,4,3,3,,,,,,3,3,3,,,1,3,3,3,,3,17,,3,2.823529412
"Tenopir, Carol",,,3,,4,2,2,,4,2,2,4,4,3,2,,3,,,,,,4,2,,,,2,,,2,,,3,1,3,3,,,,4,,21,,3,2.80952381
"Moed, Henk F.",4,4,,,,1,,,,,,4,,,2,,,4,,,,,0,3,,,,,,,,2,3,3,,,2,3,2,3,,4,16,,3,2.75
"Thelwall, Michael",4,,,,3,0,1,3,3,3,,3,2,4,2,3,2,,,2,4,3,0,4,3,,3,,,3,,3,,2,,4,3,3,3,,,3,28,,3,2.714285714
"Leydesdorff, Loet",4,4,,,3,2,2,,,,,4,,2,,,2,,,,3,,0,3,4,,,,,,,2,2,3,,,3,2,2,4,,3,20,,3,2.7
"Wilson, Tom D.",3,,3,,3,2,2,2,3,,2,,2,3,2,,3,,,3,3,,4,3,,3,,,,,4,,,,3,,2,2,1,,4,,23,,3,2.695652174
"Yang, Christopher C.",4,,,,,,,,,,,,,2,,,,,,,,,0,,,3,4,,,,,,,,,,,,,,,,5,,3,2.6
"Spink, Amanda",4,,,3,3,2,2,,3,,2,,3,4,,4,2,,2,2,,4,2,3,2,4,3,,1,1,2,,3,2,1,3,,2,,,,,27,,2,2.555555556
"Rowlands, Ian",,,,,3,,,,3,,2,,2,,,,,,,3,,,1,3,,,,,,,,1,,,,4,,,,,3,,10,,3,2.5
"Davenport, Elisabeth",,,,,2,3,1,2,,,3,,2,3,,,2,,,,,,2,2,,4,,,,,3,,,2,,3,3,2,3,,3,,18,,2.5,2.5
"McCain, Katherine W.",4,3,,,,2,,,,3,,,,3,2,,2,,,,,,0,3,3,,4,,,,,1,3,3,1,,2,2,3,,,3,19,,3,2.473684211
"Nicholas, David ",4,,3,,4,1,1,,,,2,,3,2,2,,2,,,3,,,2,,,3,,,,2,,,,2,,3,,,,,3,,17,,2,2.470588235
"Savolainen, Reijo",2,,,,,1,,1,,,,,,3,,,3,,3,3,,,4,,,,,,,4,,,,,3,,2,1,2,,,,13,,3,2.461538462
"Schubert, Andras",,4,,,,,,,,,,,,,,,,2,,,,,0,3,,,,,,,,2,3,3,,,2,,1,4,,3,11,,3,2.454545455
"Large, Andrew",,,,,3,2,,,,,,,,2,,,2,,,,,2,3,,3,3,,,,,,,,,,,,,,,2,,9,,2,2.444444444
"Bar-Ilan, Judit.",4,2,,,,,1,,,,,,,2,,,2,4,,,3,3,1,2,3,,,,,,,2,,2,,,,2,3,3,,2,17,,2,2.411764706
"McClure, Charles R.",,,,,3,2,,,,,,,3,4,,,2,,,,,,2,2,,,,1,,,,,,2,2,3,1,,,,4,,13,,2,2.384615385
